%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.zone_num,field.zone_letter
1580324026148309790,2,1580324026146855115,,42.3397383333,-70.42003,21.7,383022.990504,4688474.54495,19,T
1580324029146142157,3,1580324029142333030,,42.3397383333,-70.42003,21.7,383022.990504,4688474.54495,19,T
1580324032146537437,4,1580324032142678976,,42.3397383333,-70.42003,21.7,383022.990504,4688474.54495,19,T
1580324035146887559,5,1580324035143069982,,42.3397366667,-70.42003,21.8,383022.987414,4688474.35988,19,T
1580324038147444894,6,1580324038143529891,,42.3397366667,-70.42003,21.9,383022.987414,4688474.35988,19,T
1580324044142593402,7,1580324044141933917,,42.3397366667,-70.4200283333,21.9,383023.12471,4688474.35759,19,T
1580324047148144033,8,1580324047143290996,,42.3397366667,-70.4200283333,22.0,383023.12471,4688474.35759,19,T
1580324050145611248,9,1580324050143255949,,42.3397366667,-70.4200283333,22.0,383023.12471,4688474.35759,19,T
1580324053145374561,10,1580324053143044948,,42.3397366667,-70.4200283333,22.1,383023.12471,4688474.35759,19,T
1580324056145704600,11,1580324056143359899,,42.3397366667,-70.4200283333,22.2,383023.12471,4688474.35759,19,T
1580324062145697738,12,1580324062143373012,,42.3397366667,-70.4200383333,19.2,383022.30093,4688474.37134,19,T
1580324065147344276,13,1580324065143443107,,42.3397383333,-70.4200383333,19.2,383022.30402,4688474.55641,19,T
1580324068148473935,14,1580324068144356012,,42.3397366667,-70.4200383333,19.2,383022.30093,4688474.37134,19,T
1580324071145407613,15,1580324071143037080,,42.3397383333,-70.4200383333,19.2,383022.30402,4688474.55641,19,T
1580324074147382061,16,1580324074143069028,,42.3397366667,-70.4200383333,19.2,383022.30093,4688474.37134,19,T
1580324080146656348,17,1580324080142851114,,42.3397366667,-70.4200383333,19.2,383022.30093,4688474.37134,19,T
1580324083146465141,18,1580324083142596960,,42.3397366667,-70.4200383333,19.2,383022.30093,4688474.37134,19,T
1580324086144543227,19,1580324086142414093,,42.3397366667,-70.4200383333,19.2,383022.30093,4688474.37134,19,T
1580324089147086115,20,1580324089142714977,,42.3397366667,-70.4200383333,19.2,383022.30093,4688474.37134,19,T
1580324092145483461,21,1580324092141741991,,42.3397366667,-70.4200383333,19.3,383022.30093,4688474.37134,19,T
1580324098146126652,22,1580324098142374992,,42.3397366667,-70.4200383333,19.3,383022.30093,4688474.37134,19,T
1580324101144822393,23,1580324101142738103,,42.3397366667,-70.4200383333,19.3,383022.30093,4688474.37134,19,T
1580324104146670483,24,1580324104142855882,,42.3397366667,-70.4200383333,19.3,383022.30093,4688474.37134,19,T
1580324107145262835,25,1580324107142970085,,42.3397366667,-70.4200383333,19.3,383022.30093,4688474.37134,19,T
1580324110145420561,26,1580324110141665935,,42.3397366667,-70.4200383333,19.4,383022.30093,4688474.37134,19,T
1580324116144975299,27,1580324116142822027,,42.3397366667,-70.4200383333,19.4,383022.30093,4688474.37134,19,T
1580324119148307447,28,1580324119143122911,,42.3397366667,-70.4200366667,19.4,383022.438227,4688474.36905,19,T
1580324122146222927,29,1580324122142427921,,42.3397366667,-70.4200366667,19.5,383022.438227,4688474.36905,19,T
1580324125145243914,30,1580324125141521930,,42.3397366667,-70.4200366667,19.5,383022.438227,4688474.36905,19,T
1580324128146353838,31,1580324128142570972,,42.3397366667,-70.4200366667,19.6,383022.438227,4688474.36905,19,T
1580324134146438448,32,1580324134142640113,,42.3397366667,-70.4200366667,19.7,383022.438227,4688474.36905,19,T
1580324137146491899,33,1580324137142724037,,42.3397366667,-70.4200366667,19.7,383022.438227,4688474.36905,19,T
1580324140146361888,34,1580324140142605066,,42.3397366667,-70.420035,19.8,383022.575524,4688474.36676,19,T
1580324143145386828,35,1580324143143007993,,42.3397366667,-70.420035,19.8,383022.575524,4688474.36676,19,T
1580324146145236536,36,1580324146142926931,,42.3397366667,-70.420035,19.9,383022.575524,4688474.36676,19,T
1580324152146572082,37,1580324152142781972,,42.3397366667,-70.420035,19.9,383022.575524,4688474.36676,19,T
1580324155145903704,38,1580324155143110036,,42.3397366667,-70.420035,20.0,383022.575524,4688474.36676,19,T
1580324158145533159,39,1580324158143181085,,42.3397366667,-70.420035,20.0,383022.575524,4688474.36676,19,T
1580324161145815158,40,1580324161143426895,,42.3397366667,-70.4200333333,20.1,383022.71282,4688474.36447,19,T
1580324164147011184,41,1580324164142949104,,42.3397366667,-70.4200333333,20.2,383022.71282,4688474.36447,19,T
1580324170146610001,42,1580324170142697095,,42.3397366667,-70.4200333333,20.2,383022.71282,4688474.36447,19,T
1580324173146705611,43,1580324173142893075,,42.3397366667,-70.4200333333,20.3,383022.71282,4688474.36447,19,T
1580324176145079344,44,1580324176142827987,,42.339735,-70.4200333333,20.3,383022.70973,4688474.1794,19,T
1580324179145774274,45,1580324179143167018,,42.339735,-70.4200333333,20.4,383022.70973,4688474.1794,19,T
1580324182147519422,46,1580324182142756938,,42.339735,-70.4200316667,20.5,383022.847027,4688474.17711,19,T
1580324188141631096,47,1580324188140131950,,42.339735,-70.4200316667,20.5,383022.847027,4688474.17711,19,T
1580324191141655449,48,1580324191141041994,,42.339735,-70.4200316667,20.6,383022.847027,4688474.17711,19,T
1580324194142368522,49,1580324194141865968,,42.339735,-70.4200316667,20.7,383022.847027,4688474.17711,19,T
1580324197144808421,50,1580324197142458915,,42.339735,-70.42003,20.8,383022.984324,4688474.17482,19,T
1580324200146644636,51,1580324200142791032,,42.339735,-70.42003,20.9,383022.984324,4688474.17482,19,T
1580324206144904930,52,1580324206142771959,,42.339735,-70.4200283333,21.0,383023.121621,4688474.17253,19,T
1580324209146609890,53,1580324209142757892,,42.3397333333,-70.4200283333,21.1,383023.118531,4688473.98746,19,T
1580324212146865637,54,1580324212142698049,,42.3397333333,-70.4200283333,21.2,383023.118531,4688473.98746,19,T
1580324215146554640,55,1580324215142800092,,42.3397333333,-70.4200266667,21.3,383023.255827,4688473.98517,19,T
1580324218146479079,56,1580324218142723083,,42.3397333333,-70.4200266667,21.5,383023.255827,4688473.98517,19,T
1580324224146660876,57,1580324224142683982,,42.3397333333,-70.420025,21.6,383023.393124,4688473.98288,19,T
1580324227146055897,58,1580324227142318010,,42.3397316667,-70.420025,21.7,383023.390034,4688473.79781,19,T
1580324230146545753,59,1580324230142699003,,42.3397316667,-70.4200233333,21.8,383023.527331,4688473.79552,19,T
1580324233146488085,60,1580324233142745018,,42.3397316667,-70.4200233333,21.9,383023.527331,4688473.79552,19,T
1580324236145530306,61,1580324236143181085,,42.3397316667,-70.4200233333,22.0,383023.527331,4688473.79552,19,T
1580324242146987194,62,1580324242143172025,,42.3397316667,-70.4200216667,22.1,383023.664628,4688473.79323,19,T
1580324245146479877,63,1580324245142714023,,42.3397316667,-70.4200216667,22.2,383023.664628,4688473.79323,19,T
1580324248144631173,64,1580324248142311096,,42.33973,-70.4200216667,22.3,383023.661538,4688473.60816,19,T
1580324251145108334,65,1580324251142524957,,42.33973,-70.42002,22.4,383023.798835,4688473.60587,19,T
1580324254147555663,66,1580324254143341064,,42.33973,-70.42002,22.5,383023.798835,4688473.60587,19,T
1580324260145858580,67,1580324260143325090,,42.33973,-70.42002,22.6,383023.798835,4688473.60587,19,T
1580324263147014393,68,1580324263142971038,,42.33973,-70.4200183333,22.8,383023.936131,4688473.60358,19,T
1580324266145032647,69,1580324266142663955,,42.33973,-70.4200183333,22.9,383023.936131,4688473.60358,19,T
1580324269145024957,70,1580324269142668008,,42.3397283333,-70.4200166667,22.9,383024.070338,4688473.41622,19,T
1580324272146278753,71,1580324272142469882,,42.3397283333,-70.4200166667,23.0,383024.070338,4688473.41622,19,T
1580324278146437787,72,1580324278142610073,,42.3397283333,-70.4200166667,23.1,383024.070338,4688473.41622,19,T
1580324281144557234,73,1580324281142218112,,42.3397283333,-70.420015,23.2,383024.207635,4688473.41393,19,T
1580324284146693578,74,1580324284142904996,,42.3397283333,-70.420015,23.3,383024.207635,4688473.41393,19,T
1580324287147580224,75,1580324287142339944,,42.3397283333,-70.420015,23.4,383024.207635,4688473.41393,19,T
1580324290145984750,76,1580324290142203092,,42.3397266667,-70.4200133333,23.5,383024.341842,4688473.22657,19,T
1580324296144576152,77,1580324296142482042,,42.3397266667,-70.4200133333,23.6,383024.341842,4688473.22657,19,T
1580324299145261842,78,1580324299142923116,,42.3397266667,-70.4200116667,23.7,383024.479139,4688473.22428,19,T
1580324302142468969,79,1580324302141993999,,42.339725,-70.4200116667,23.9,383024.476049,4688473.03922,19,T
1580324305146666639,80,1580324305142661094,,42.339725,-70.42001,24.0,383024.613346,4688473.03692,19,T
1580324308146179734,81,1580324308141957998,,42.339725,-70.42001,24.1,383024.613346,4688473.03692,19,T
1580324314141838117,82,1580324314141360044,,42.339725,-70.4200083333,24.2,383024.750642,4688473.03463,19,T
1580324317145238790,83,1580324317142957925,,42.3397233333,-70.4200066667,24.4,383024.884849,4688472.84727,19,T
1580324320147052554,84,1580324320143032073,,42.3397233333,-70.4200066667,24.6,383024.884849,4688472.84727,19,T
1580324323146760568,85,1580324323144413948,,42.3397216667,-70.420005,24.7,383025.019056,4688472.65992,19,T
1580324326145284768,86,1580324326142935991,,42.3397216667,-70.420005,24.9,383025.019056,4688472.65992,19,T
1580324332148570503,87,1580324332148083925,,42.3397216667,-70.4200033333,25.0,383025.156353,4688472.65763,19,T
1580324335146545207,88,1580324335142678022,,42.33972,-70.4200016667,25.2,383025.29056,4688472.47027,19,T
1580324338146633956,89,1580324338142748117,,42.33972,-70.4200016667,25.4,383025.29056,4688472.47027,19,T
1580324341145030475,90,1580324341142896890,,42.3397183333,-70.42,25.5,383025.424767,4688472.28291,19,T
1580324344147252504,91,1580324344142946958,,42.3397183333,-70.4199983333,25.7,383025.562064,4688472.28062,19,T
1580324350148248111,92,1580324350143481016,,42.3397166667,-70.4199983333,25.8,383025.558974,4688472.09556,19,T
1580324353145823198,93,1580324353143476963,,42.3397166667,-70.4199966667,26.0,383025.69627,4688472.09326,19,T
1580324356148033329,94,1580324356143357992,,42.3397166667,-70.419995,26.1,383025.833567,4688472.09097,19,T
1580324359147584391,95,1580324359143466949,,42.339715,-70.419995,26.3,383025.830477,4688471.90591,19,T
1580324362142701010,96,1580324362142232894,,42.339715,-70.4199933333,26.4,383025.967774,4688471.90361,19,T
1580324368147329296,97,1580324368142999887,,42.3397133333,-70.4199916667,26.5,383026.101981,4688471.71626,19,T
1580324371145282501,98,1580324371142945051,,42.3397133333,-70.4199916667,26.7,383026.101981,4688471.71626,19,T
1580324374147302108,99,1580324374143030881,,42.3397133333,-70.41999,26.8,383026.239278,4688471.71397,19,T
1580324377145344923,100,1580324377142966032,,42.3397116667,-70.4199883333,26.9,383026.373485,4688471.52661,19,T
1580324380142785622,101,1580324380142302989,,42.3397,-70.4199733333,28.7,383027.587528,4688470.21053,19,T
1580324386144860143,102,1580324386142527103,,42.3397,-70.4199716667,28.7,383027.724824,4688470.20823,19,T
1580324389141824109,103,1580324389141345024,,42.3396983333,-70.4199716667,28.8,383027.721735,4688470.02317,19,T
1580324392146739669,104,1580324392142888069,,42.3396983333,-70.4199716667,28.9,383027.721735,4688470.02317,19,T
1580324395145680147,105,1580324395141925096,,42.3396983333,-70.41997,29.0,383027.859031,4688470.02088,19,T
1580324398141738646,106,1580324398141272068,,42.3396966667,-70.41997,29.1,383027.855942,4688469.83581,19,T
1580324404146038839,107,1580324404142179012,,42.3396966667,-70.4199683333,29.2,383027.993239,4688469.83352,19,T
1580324407147401734,108,1580324407143130064,,42.3396966667,-70.4199683333,29.3,383027.993239,4688469.83352,19,T
1580324410145786082,109,1580324410143484115,,42.339695,-70.4199666667,29.4,383028.127446,4688469.64616,19,T
1580324413141991652,110,1580324413141514062,,42.339695,-70.4199666667,29.5,383028.127446,4688469.64616,19,T
1580324416144886509,111,1580324416142832040,,42.339695,-70.4199666667,29.6,383028.127446,4688469.64616,19,T
1580324422146614491,112,1580324422142824888,,42.339695,-70.419965,29.7,383028.264742,4688469.64387,19,T
1580324425146649183,113,1580324425142797946,,42.3396933333,-70.419965,29.8,383028.261653,4688469.45881,19,T
1580324428146473672,114,1580324428142713069,,42.3396933333,-70.4199633333,29.9,383028.39895,4688469.45652,19,T
1580324431144792370,115,1580324431142733097,,42.3396933333,-70.4199633333,30.0,383028.39895,4688469.45652,19,T
1580324434145788204,116,1580324434141973018,,42.3396916667,-70.4199616667,30.1,383028.533157,4688469.26916,19,T
1580324440146588809,117,1580324440142810106,,42.3396916667,-70.4199616667,30.2,383028.533157,4688469.26916,19,T
1580324443146851078,118,1580324443143002986,,42.3396916667,-70.41996,30.3,383028.670453,4688469.26687,19,T
1580324446145472403,119,1580324446143177986,,42.3396916667,-70.41996,30.4,383028.670453,4688469.26687,19,T
1580324449147049452,120,1580324449143100976,,42.33969,-70.41996,30.5,383028.667364,4688469.0818,19,T
1580324452147024249,121,1580324452141997098,,42.33969,-70.4199583333,30.6,383028.804661,4688469.07951,19,T
1580324458145456833,122,1580324458141710996,,42.33969,-70.4199583333,30.7,383028.804661,4688469.07951,19,T
1580324461141870601,123,1580324461141374111,,42.3396883333,-70.4199566667,30.8,383028.938868,4688468.89215,19,T
1580324464147011998,124,1580324464142623901,,42.3396883333,-70.4199566667,30.9,383028.938868,4688468.89215,19,T
1580324467146559205,125,1580324467142765045,,42.3396883333,-70.4199566667,31.0,383028.938868,4688468.89215,19,T
1580324470145820015,126,1580324470142005920,,42.3396883333,-70.419955,31.1,383029.076164,4688468.88986,19,T
1580324476144000986,127,1580324476141952991,,42.3396866667,-70.419955,31.2,383029.073075,4688468.7048,19,T
1580324479146520337,128,1580324479142682075,,42.3396866667,-70.4199533333,31.2,383029.210372,4688468.7025,19,T
1580324482147225048,129,1580324482142901897,,42.3396866667,-70.4199533333,31.3,383029.210372,4688468.7025,19,T
1580324485147576026,130,1580324485143105030,,42.3396866667,-70.4199533333,31.4,383029.210372,4688468.7025,19,T
1580324488147093928,131,1580324488142719030,,42.339685,-70.4199516667,31.5,383029.344579,4688468.51515,19,T
1580324494146616395,132,1580324494142843961,,42.339685,-70.4199516667,31.6,383029.344579,4688468.51515,19,T
1580324497147921438,133,1580324497143368959,,42.339685,-70.41995,31.7,383029.481876,4688468.51286,19,T
1580324500146699623,134,1580324500142857074,,42.339685,-70.41995,31.8,383029.481876,4688468.51286,19,T
1580324503146287083,135,1580324503142442941,,42.3396833333,-70.41995,31.8,383029.478786,4688468.32779,19,T
1580324506144385324,136,1580324506142102003,,42.3396833333,-70.4199483333,31.9,383029.616083,4688468.3255,19,T
1580324512146978528,137,1580324512143198966,,42.3396833333,-70.4199483333,32.0,383029.616083,4688468.3255,19,T
1580324515146823803,138,1580324515142731904,,42.3396833333,-70.4199483333,32.1,383029.616083,4688468.3255,19,T
1580324518141824487,139,1580324518141350984,,42.3396816667,-70.4199466667,32.1,383029.75029,4688468.13814,19,T
1580324521145391571,140,1580324521143119096,,42.3396816667,-70.4199466667,32.2,383029.75029,4688468.13814,19,T
1580324524146804495,141,1580324524142769098,,42.3396816667,-70.4199466667,32.3,383029.75029,4688468.13814,19,T
1580324530146668648,142,1580324530142882108,,42.3396816667,-70.419945,32.3,383029.887587,4688468.13585,19,T
1580324533147701171,143,1580324533143079996,,42.3396816667,-70.419945,32.4,383029.887587,4688468.13585,19,T
1580324536144634771,144,1580324536142539024,,42.33968,-70.419945,32.5,383029.884497,4688467.95079,19,T
